Thes_term;count_thes_term
Scientific Publication;234
Scientific Community;234
Marine Sciences;195
Marine Genomics;101
Marine Sciences General;71
Environmental Managers & Monitoring;56
Exploitable Scientific Result;54
Biodiversity;51
Climate Change;34
Oceanography;29
Policy Makers / Decision Makers;22
Blue Biotech;17
Climate Change General;14
Environmental Management;13
Data;12
Others;11
Industry;11
Book/Review;8
Taxonomy;8
Software/Modelling Tool;6
Fisheries;6
Aquaculture;6
Stock Assessment;6
Fatty acids;5
Phylogeny;5
Case Study;5
Modelling & Prediction;5
Fisheries Management;5
Life cycle;4
Gear/Technology;7
Zooplankton;4
Environmental Impact Assessment;4
Environmental Management General;4
Risk Management;4
Coastal Management;4
Quality/Health & Welfare;3
Differentiation;3
Biogeography;3
Phytoplankton;3
Services/Tools;3
Temperature;3
Monitoring & Surveillance;3
Other General;3
17th century;3
Hedendaagse Tijd (1789-heden);3
Ecotoxicology;3
De kust ;3
Marine ecology;2
Benthos;2
Cryopreservation;2
Morphology;2
Global warming;2
Growth;2
Dinoflagellates;2
Algae;2
Microsatellites;2
Eutrophication;2
Fisheries General;2
Ultrastructure;2
Fossils;2
Recreational fishing;2
Evolution;2
Bioturbation;2
Contamination;2
Systematics;2
Wetenschappen;2
Breeding/Husbandry;2
Diatoms;2
Foraminifera;2
History;2
Holocene;1
Literature;1
Oocytes;1
Picoplankton;1
Genetics;1
Archaeology;1
Biological data;1
Chloroplasts;1
Climatic changes;1
Dredging;1
Eggs;1
18th century;1
Achromobacter;1
Retention;1
Taxis;1
Fouling organisms;1
Glutamine;1
Long-term changes;1
Mariculture;1
Biodeposition;1
Biotelemetry;1
Ecosystems;1
Cohesive sediments;1
Databases;1
Solutions;1
Plankton;1
Prototype;1
Seagrass;1
Monitoring;1
Mortality;1
Nursery grounds;1
Offshore structures;1
Whaling;1
Time series;1
Tracking;1
Wenduine;1
Spaanse Tijd (1482-1713);1
Synergism;1
Oorlogsvoering;1
Phototaxis;1
Risk assessment;1
Community composition;1
Adaptation;1
Air pollution;1
Bioassay;1
Estuaries;1
Faecal pellets;1
Hematopoiesis;1
Interspecific interactions;1
Landschapsgeschiedenis;1
Metamorphosis;1
Regeneration;1
Symbionts;1
Parasites;1
Invasive species;1
Larval development;1
Linoleic acid;1
Anatomy;1
Blankenberge;1
Chromosomes;1
Consumption;1
Fish consumption;1
Fishery products;1
Flatworms;1
Lipids;1
Storage;1
Survival;1
Trawling;1
Bengal, west;1
Bioassays;1
Biofouling;1
Bioindicators;1
Economy;1
Network analysis;1
Photosynthesis;1
Resting stages;1
Marine invertebrates;1
Meiobenthos;1
Artificial habitats;1
Bats;1
Ecology;1
Environmental Resources Management;1
Fluid mud;1
Abundance;1
Traits;1
Walruses;1
Fishery;1
Gene expression;1
Heterogeneity;1
Hormones;1
Immunogenetics;1
Macrobenthos;1
Mammoths;1
Maritime Industries;1
Oyster culture;1
Plant physiology;1
Shrimp culture;1
Siltation;1
Aquaculture General;1
Bacteria;1
Biogeochemistry;1
Bottom currents;1
Coastal areas;1
Contourites;1
Speciation;1
Stock identification;1
Thermal stresses;1
Wastewater;1
Meiofauna;1
Mental health;1
Noise pollution;1
Peat;1
Plasticity;1
Endothelium;1
Environmental impact;1
Krill;1
Coastal waters;1
Cod;1
16th century;1
Acoustic telemetry;1
Aerosols;1
